wavelength,k_ext,Av,Ak
0.1426995,35481.08833,2.449284374,13.48230269
0.1428409,35471.08853,2.44859408,13.47850291
0.1429824,35461.60166,2.447939195,13.47489804
0.1431241,35453.60516,2.447387191,13.47185948
0.143266,35444.71357,2.446773398,13.46848081
0.1434079,35437.02767,2.446242835,13.46556028
0.14355,35428.43156,2.44564944,13.46229388
0.1436923,35420.47772,2.44510038,13.45927153
0.1438347,35412.10488,2.444522398,13.45608998
0.1439772,35404.36033,2.443987786,13.45314716
0.1441199,35405.97097,2.444098969,13.45375918
0.1442627,35385.69007,2.442698965,13.44605273
0.1444056,35380.48999,2.44234,13.44407677
0.1445487,35362.52592,2.441099927,13.43725068
0.144692,35356.3741,2.440675263,13.43491308
0.1448354,35341.82532,2.43967095,13.42938475
0.1449789,35336.17335,2.439280791,13.42723709
0.1451226,35321.74302,2.438284655,13.42175377
0.1452664,35317.09991,2.437964138,13.41998945
0.1454103,35302.21281,2.436936471,13.41433257
0.1455544,35301.70902,2.436901694,13.41414114
0.1456986,35283.258,2.435628007,13.40713002
0.145843,35289.59841,2.436065691,13.40953928
0.1459875,35259.68822,2.434000969,13.39817384
0.1461322,35256.7421,2.433797597,13.39705436
0.146277,35230.77989,2.432005407,13.38718909
0.146422,35245.33039,2.433009838,13.39271807
0.1465671,35205.24603,2.430242786,13.37748659
0.1467123,35795.88325,2.471014887,13.60192023
0.1468577,35180.36707,2.428525375,13.36803295
0.1470032,35185.35752,2.428869869,13.36992925
0.1471489,35156.19991,2.426857098,13.35884977
0.1472947,35152.52126,2.426603158,13.35745194
0.1474407,35132.86965,2.425246594,13.34998461
0.1475868,35130.43534,2.425078552,13.34905961
0.147733,35110.23448,2.423684073,13.34138357
0.1478794,35110.10857,2.423675381,13.34133573
0.1480259,35089.2582,2.422236065,13.33341289
0.1481726,35094.06571,2.422567931,13.33523967
0.1483195,35070.13439,2.420915935,13.32614611
0.1484664,35086.06462,2.42201561,13.33219937
0.1486135,35051.6037,2.419636749,13.31910472
0.1487608,35057.36305,2.420034321,13.32129319
0.1489082,35033.59203,2.418393391,13.31226054
0.1490558,35038.26573,2.418716019,13.31403648
0.1492035,35004.20352,2.416364681,13.30109333
0.1493513,35103.98843,2.423252904,13.33901016
0.1494993,34970.1373,2.414013066,13.28814866
0.1496475,34969.41917,2.413963493,13.28787578
0.1497958,34937.53856,2.411762752,13.27576161
0.1499442,34928.78932,2.411158786,13.27243702
0.1500928,34905.75812,2.409568926,13.2636855
0.1502415,34906.87808,2.409646238,13.26411107
0.1503904,34875.64847,2.407490436,13.25224426
0.1505394,34891.46188,2.408582047,13.25825313
0.1506886,34845.84108,2.405432811,13.24091788
0.1508379,34846.91607,2.405507019,13.24132637
0.1509874,34816.89843,2.40343488,13.2299201
0.151137,34804.34768,2.402568493,13.22515099
0.1512868,34789.11526,2.401516988,13.21936289
0.1514367,34780.87314,2.400948028,13.216231
0.1515868,34764.01421,2.399784245,13.20982485
0.151737,34761.58542,2.399616584,13.20890195
0.1518874,34740.74427,2.398177905,13.20098261
0.1520379,34742.25146,2.398281947,13.20155532
0.1521885,34718.12372,2.396616392,13.19238713
0.1523393,34724.34532,2.397045874,13.19475125
0.1524903,34696.16619,2.395100649,13.18404358
0.1526414,35623.49083,2.459114518,13.53641359
0.1527927,34674.86521,2.393630227,13.17594952
0.1529441,34690.2434,2.394691794,13.18179301
0.1530956,34655.41066,2.392287266,13.16855707
0.1532473,34656.08616,2.392333896,13.16881375
0.1533992,34636.01351,2.390948267,13.16118643
0.1535512,34635.59122,2.390919116,13.16102596
0.1537034,34618.19007,2.389717902,13.15441378
0.1538557,34630.02068,2.390534578,13.15890924
0.1540081,34600.64467,2.388506731,13.14774678
0.1541607,34804.19532,2.402557975,13.2250931
0.1543135,34583.53556,2.387325677,13.14124556
0.1544664,34580.50129,2.387116219,13.14009258
0.1546195,34568.55706,2.386291701,13.13555395
0.1547727,34566.45907,2.386146875,13.13475674
0.1549261,34554.79836,2.385341928,13.13032584
0.1550796,34589.5251,2.38773914,13.1435215
0.1552333,34533.06126,2.383841401,13.12206606
0.1553871,34534.19353,2.383919563,13.1224963
0.1555411,34509.36687,2.382205761,13.11306253
0.1556952,34520.11883,2.382947976,13.11714812
0.1558495,34486.90535,2.380655226,13.10452748
0.1560039,34567.08563,2.386190127,13.13499483
0.1561585,34464.26695,2.379092482,13.09592521
0.1563133,34469.93006,2.37948341,13.09807711
0.1564682,34443.09922,2.377631258,13.08788178
0.1566232,34520.48317,2.382973127,13.11728656
0.1567784,34421.6364,2.376149665,13.07972622
0.1569338,34492.69765,2.381055073,13.10672847
0.1570893,34402.4092,2.374822398,13.07242016
0.157245,34414.48924,2.375656291,13.0770104
0.1574008,34384.81041,2.373607541,13.06573287
0.1575568,34481.41803,2.380276432,13.10244237
0.1577129,34366.69945,2.372357329,13.05885096
0.1578692,34416.10734,2.37576799,13.07762525
0.1580256,34350.47509,2.37123735,13.05268594
0.1581822,34364.69233,2.372218776,13.05808829
0.1583389,34333.92053,2.370094577,13.04639545
0.1584959,34402.77903,2.374847928,13.07256069
0.1586529,34319.30651,2.369085761,13.04084233
0.1588101,34346.84347,2.370986657,13.05130598
0.1589675,34305.25959,2.368116092,13.0355047
0.159125,34317.22756,2.36894225,13.04005236
0.1592827,34292.54344,2.367238288,13.03067275
0.1594405,34351.12666,2.371282328,13.05293353
0.1595985,34279.05146,2.366306927,13.02554599
0.1597567,34294.79855,2.36739396,13.03152966
0.159915,34266.96654,2.365472696,13.0209539
0.1600735,34301.10325,2.367829178,13.03392535
0.1602321,34250.16043,2.364312559,13.01456782
0.1603909,34334.9379,2.370164807,13.04678203
0.1605498,34233.17273,2.363139886,13.00811273
0.1607089,34252.73629,2.364490372,13.0155466
0.1608682,34215.57033,2.36192478,13.00142408
0.1610276,34365.47434,2.372272759,13.05838544
0.1611871,34198.94196,2.360776912,12.99510553
0.1613469,34314.71548,2.368768839,13.0390978
0.1615067,34181.29778,2.359558922,12.988401
0.1616668,34199.31213,2.360802465,12.99524619
0.161827,34164.90845,2.358427555,12.98217329
0.1619874,34230.39356,2.362948038,13.00705669
0.1621479,34147.64141,2.357235599,12.97561206
0.1623086,34216.95023,2.362020035,13.00194842
0.1624694,34133.01728,2.356226085,12.97005511
0.1626304,34159.96229,2.358086118,12.98029382
0.1627915,34117.9803,2.355188072,12.96434127
0.1629529,34155.19854,2.357757273,12.97848366
0.1631143,34103.94043,2.35421889,12.95900632
0.163276,34113.20158,2.354858193,12.96252542
0.1634378,34088.9055,2.353181018,12.95329326
0.1635997,34275.60496,2.366069013,13.02423637
0.1637618,34074.00616,2.352152506,12.94763173
0.1639241,34076.05019,2.352293607,12.94840843
0.1640866,34059.87529,2.351177042,12.9422622
0.1642492,34068.92996,2.351802093,12.94570285
0.1644119,34046.65851,2.350264679,12.93724002
0.1645748,34095.29815,2.353622307,12.95572238
0.1647379,34034.4124,2.349419321,12.93258667
0.1649012,34039.6222,2.349778957,12.93456632
0.1650646,34021.40194,2.3485212,12.92764288
0.1652281,34054.53964,2.350808719,12.94023473
0.1653919,34009.20513,2.347679246,12.92300827
0.1655558,34015.06557,2.348083796,12.92523515
0.1657198,33995.4426,2.346729209,12.91777871
0.165884,34007.10379,2.347534188,12.92220979
0.1660484,33983.15577,2.34588104,12.91310989
0.166213,34313.07615,2.368655675,13.03847488
0.1663777,33972.17589,2.345123091,12.90893769
0.1665425,34532.232,2.383784157,13.12175095
0.1667076,33962.64781,2.344465361,12.90531716
0.1668728,33996.0169,2.346768853,12.91799693
0.1670381,33954.10102,2.343875371,12.9020695
0.1672037,33980.07494,2.345668368,12.91193922
0.1673693,33946.57265,2.343355682,12.89920883
0.1675352,33969.75984,2.34495631,12.90801963
0.1677012,33940.07438,2.342907102,12.89673958
0.1678674,34572.66482,2.386575263,13.13711484
0.1680337,33936.59962,2.342667236,12.89541922
0.1682003,33958.75599,2.344196706,12.90383832
0.1683669,33933.5065,2.342453716,12.89424388
0.1685338,33959.63867,2.344257638,12.90417373
0.1687008,33930.71596,2.342261083,12.89318352
0.168868,33937.3092,2.342716219,12.89568885
0.1690353,33930.50574,2.342246572,12.89310364
0.1692028,33953.58989,2.343840086,12.90187528
0.1693705,33931.77997,2.342334533,12.89358783
0.1695383,33981.7829,2.34578627,12.91258822
0.1697063,33934.55231,2.342525909,12.89464127
0.1698745,33948.13655,2.343463639,12.89980309
0.1700428,33936.87622,2.34268633,12.89552432
0.1702113,33955.09503,2.343943987,12.90244721
0.17038,33940.82201,2.342958711,12.89702367
0.1705488,33949.72186,2.343573074,12.90040548
0.1707178,33944.32225,2.343200335,12.89835371
0.170887,34055.33277,2.350863469,12.94053611
0.1710563,33949.09927,2.343530096,12.90016891
0.1712258,33962.51866,2.344456446,12.90526808
0.1713955,33954.71309,2.343917622,12.90230208
0.1715653,33963.50972,2.34452486,12.90564467
0.1717354,33960.97387,2.344349808,12.90468109
0.1719055,33972.07644,2.345116226,12.9088999
0.1720759,33968.7083,2.344883721,12.90762006
0.1722464,34043.67231,2.350058539,12.9361053
0.1724171,33976.94545,2.345452337,12.91075006
0.1725879,33993.40883,2.346588816,12.9170059
0.172759,33985.44351,2.346038965,12.9139792
0.1729302,33994.09849,2.346636423,12.91726796
0.1731015,33994.13395,2.346638871,12.91728144
0.1732731,34000.98779,2.347111997,12.9198858
0.1734448,34002.93675,2.347246535,12.92062638
0.1736166,34019.03256,2.34835764,12.92674255
0.1737887,34011.76807,2.347856167,12.92398215
0.1739609,34085.95105,2.352977071,12.95217062
0.1741333,34021.45496,2.34852486,12.92766303
0.1743058,34031.93637,2.349248399,12.93164581
0.1744786,34031.1057,2.349191057,12.93133017
0.1746515,34039.45358,2.349767317,12.93450225
0.1748245,34040.6936,2.349852916,12.93497343
0.1749978,34093.89394,2.353525373,12.9551888
0.1751712,34050.27997,2.350514671,12.93861612
0.1753448,34109.10037,2.354575084,12.96096702
0.1755185,34059.95578,2.351182599,12.94229279
0.1756924,34070.35562,2.351900507,12.94624458
0.1758665,34069.87848,2.351867569,12.94606327
0.1760408,34078.73963,2.352479261,12.94943038
0.1762153,34080.2982,2.35258685,12.95002261
0.1763899,34098.00208,2.353808961,12.95674983
0.1765647,34091.10348,2.353332746,12.95412846
0.1767396,34121.17662,2.355408716,12.96555582
0.1769148,34102.33576,2.354108118,12.95839657
0.1770901,34111.1992,2.354719967,12.96176455
0.1772656,34114.00218,2.354913459,12.96282964
0.1774412,34122.90839,2.355528261,12.96621387
0.1776171,34126.12505,2.35575031,12.96743616
0.1777931,34156.64342,2.357857014,12.9790327
0.1779693,34137.0936,2.356507477,12.97160405
